line,Name,genres
7.0,Talking Movies,"Sure, the genres for the TV show/film are:

1. Documentary
2. Comedy
3. Drama"
8.0,Sportsday,"Sure, here are the 3 genres for the TV show/film:

1. Sports
2. Documentary
3. Reality"
2.0,The World Today with Maryam Moshiri,"Sure, here are the 3 genres for the TV show/film:

1. News
2. Documentary
3. Current Affairs"
6.0,BBC News,"Sure, here are the 3 genres for the TV show/film:

1. News
2. Current Affairs
3. Documentary"
1.0,Business Today,"Sure, here are the 3 genres for the TV show/film:

1. Business News
2. Documentary
3. News"
3.0,Business Today,"Sure, here are the 3 genres for the TV show/film:

1. Business News
2. Documentary
3. Comedy"
4.0,BBC News,"Sure, here are 3 genres for the TV show/film:

1. News
2. Current Affairs
3. Entertainment"
5.0,Verified Live,"Sure, here are the 3 genres for the TV show/film:

1. News
2. Current Affairs
3. Documentary"
12.0,Programos pabaiga,"No Description, Unknown, Unknown"
9.0,The Context,"Sure, here are the 3 genres for the TV show/film:

1. News Program
2. Current Affairs
3. Interview"
11.0,Žemiau denio. Viduržemio jūra,"Sure, here are 3 genres for the TV show/film:

1. Comedy
2. Drama
3. Science Fiction"
10.0,Mentalistas,"Sure, here are 3 genres for the TV show/film:

1. Crime drama
2. Mystery
3. Dark comedy"
13.0,Vandens policija,"Sure, here are the 3 genres for the TV show/film:

1. Crime drama
2. Thriller
3. Drama"
14.0,Mirtinas ginklas,"Sure, here are the 3 genres for the TV show/film:

1. Crime
2. Drama
3. Fantasy"
16.0,Palaiminti dvasią,"Sure, here are the 3 genres for the TV show/film:

1. Drama
2. Fantasy
3. Comedy"
18.0,Smagioji iškyla,"Sure, the genres for the TV show/film are:

1. Comedy
2. Drama
3. Music"
15.0,Kaupikai,"Sure, here are 3 genres for the TV show/film:

1. **Documentary**
2. **Drama**
3. **Horror**"
22.0,Nediplomatinis pokalbis,"No Description, Unknown, Unknown"
23.0,Verslūs tėvai,"No Description, Unknown, Unknown"
17.0,Meilė yra meilė yra meilė. Trys istorijos,"Sure, the genres of the TV show/film are:

1. Drama
2. Romance
3. Comedy"
19.0,Baudžiauninkė,"Sure, here are the 3 genres for the TV show/film:

1. Drama
2. Fantasy
3. Comedy"
24.0,Švenčių ciklas: Kūčios,"No Description, Unknown, Unknown"
20.0,Pabėgėlė,"Sure, here are the 3 genres for the TV show/film:

1. Comedy
2. Romance
3. Drama"
21.0,Nučiuožęs,"Sure, the genres for the TV show/film are:

1. Comedy
2. Drama
3. Romance"
25.0,Svajonių šalis,"Sure, here are 3 genres for the TV show/film:

1. Drama
2. Comedy
3. Crime"
27.0,Bloomberg Markets,"Sure, here are the 3 genres for the TV show/film:

1. Business News
2. Documentary
3. Financial"
26.0,Moterų daktaras. Naujas gyvenimas,"Sure, here are 3 genres for the TV show/film:

1. Drama
2. Comedy
3. Science fiction"
28.0,Bloomberg Wall Street Week,"Sure, here are the 3 genres for the TV show/film:

1. Business/Finance
2. Documentary
3. Current Affairs"
29.0,Bloomberg Originals,"Sure, the genres for the TV show/film are:

1. Documentary
2. Science fiction
3. Sports"
